H1.1,H2.1,H3.1,H4.1,H5.1,H6.1
HOXA11,0,0,6,0,122,85
HOXA11-AS,0,0,1,0,52,125
HOXA13,0,0,0,0,38,48
HOTTIP,0,0,0,0,0,2
EVX1-AS,0,0,0,0,0,0
EVX1,0,0,0,0,0,0
HIBADH,57,42,10,6,274,107
TSL,0,1,0,0,2,0
TAX1BP1,414,158,198,33,1282,495
JAZF1,57,35,10,6,88,88
JAZF1-AS1,1,0,0,0,0,0
CREB5,28,15,21,0,18,27
TRIL,3,4,0,1,25,27
LOC100506497,0,1,0,0,3,1
CPVL,12,5,7,16,106,8
LOC101928168,0,0,0,0,0,0
CHN2,1,0,1,1,20,3
CHN2-AS1,0,0,0,0,0,0
PRR15,30,11,54,7,64,114
LOC646762,9,4,5,0,15,10
MIR550A3,0,0,0,0,0,0
ZNRF2P2,0,0,0,0,0,0
DPY19L2P3,2,1,4,0,9,3
WIPF3,0,0,2,0,3,0
SCRN1,249,77,52,19,143,122
FKBP14,290,62,50,36,678,231
PLEKHA8,45,16,15,4,78,26
MTURN,157,56,31,18,206,60
LOC105375218,0,0,0,0,0,0
ZNRF2,8,9,7,3,24,6
MIR550A1,0,0,0,0,0,0
MIR550B1,0,0,0,0,0,0
DKFZP586I1420,1,2,1,0,6,5
LINC01176,0,0,3,0,3,1
NOD1,9,3,0,0,50,10
GGCT,172,99,38,15,431,206
GARS-DT,11,4,5,1,33,9
GARS1,1093,311,300,85,1007,599
CRHR2,0,0,0,0,0,0
INMT,0,5,0,1,213,10
INMT-MINDY4,0,0,0,0,0,0
MINDY4,1,0,3,1,4,1
AQP1,60,3,2,1,2448,4
GHRHR,0,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0
NEUROD6,0,0,0,0,0,0
ITPRID1,0,0,0,0,0,0
PPP1R17,0,0,0,0,0,0
PDE1C,51,57,2,9,0,24
LOC100130673,0,0,0,0,0,0
LSM5,365,226,116,17,1154,518
AVL9,33,16,21,0,119,52
DPY19L1P1,1,2,1,0,1,3
ZNRF2P1,3,2,2,0,1,0
MIR550A2,0,0,0,0,0,0
MIR550B2,0,0,0,0,0,0
LINC00997,10,8,5,1,7,4
DPY19L1P2,1,0,0,0,0,0
KBTBD2,54,33,34,3,142,65
RP9P,70,34,64,8,115,73
FKBP9,148,84,32,19,703,287
NT5C3A,68,32,45,8,161,63
RP9,125,29,62,12,212,111
BBS9,16,6,3,3,49,17
BMPER,3,2,0,0,115,17
NPSR1-AS1,0,0,0,0,0,0
NPSR1,0,0,0,0,0,0
DPY19L1,27,30,9,2,128,41
DPY19L2P1,0,0,0,0,3,1
TBX20,0,0,0,0,1,0
LOC401324,0,0,0,0,0,0
HERPUD2,72,32,31,3,204,56
LOC101930085,24,11,18,0,29,13
LOC100506725,7,0,0,0,6,0
SEPTIN7-AS1,0,0,0,0,0,0
SEPTIN7,1488,493,630,121,2749,939
LOC101928618,0,0,0,0,0,0
EEPD1,0,6,3,5,52,18
KIAA0895,7,3,5,0,10,5
ANLN,7,26,4,0,2,6
AOAH,0,0,0,0,0,0
AOAH-IT1,0,0,0,0,0,0
ELMO1,0,0,0,0,9,0
MIR1200,0,0,0,0,0,0
ELMO1-AS1,0,0,0,0,0,0
GPR141,0,0,0,0,0,0
NME8,0,0,0,0,0,0
SFRP4,0,13,5,0,6,0
EPDR1,46,29,25,2,96,1
STARD3NL,171,76,72,15,602,207
TARP,0,0,0,0,0,0
TRG-AS1,0,0,0,0,0,0
AMPH,0,10,2,0,5,1
FAM183BP,0,0,0,0,0,0
VPS41,167,48,74,13,306,128
POU6F2,0,0,0,0,0,0
POU6F2-AS2,0,0,0,1,0,1
SNORA20B,0,0,0,0,0,0
POU6F2-AS1,0,0,0,0,0,0
YAE1,58,32,22,12,188,82
RALA,318,192,264,48,372,497
LINC00265,2,3,2,0,7,13
LOC112267983,2,0,0,0,2,0
CDK13,207,55,55,14,276,85
MPLKIP,1207,315,329,44,1233,507
SUGCT,661,120,91,46,289,504
LINC01450,0,0,0,0,0,0
LINC01449,0,0,0,0,0,0
INHBA,3156,329,351,219,3331,1629
INHBA-AS1,9,0,2,1,7,7
GLI3,22,30,3,2,258,38
LINC01448,0,0,0,0,0,0
C7orf25,87,19,43,17,227,63
PSMA2,965,439,413,105,3023,905
MRPL32,354,176,198,56,1186,234
HECW1,6,0,0,4,3,1
HECW1-IT1,1,0,0,0,2,0
MIR3943,0,0,0,0,0,0
LUARIS,0,0,0,0,0,0
STK17A,255,126,164,27,498,174
COA1,183,136,50,15,489,185
BLVRA,146,73,53,26,275,101
MRPS24,1,2,0,0,2,0
URGCP-MRPS24,0,0,0,0,0,0
URGCP,49,20,18,7,83,21
UBE2D4,109,16,31,16,99,31
POLR2J4,4,4,1,0,8,0
SPDYE1,1,0,0,0,0,0
RASA4CP,2,0,2,0,4,1
LINC00957,3,0,0,0,0,0
DBNL,180,107,59,21,380,125
MIR6837,0,0,0,0,0,0
PGAM2,0,0,4,0,0,0
POLM,15,10,10,1,34,7
MIR6838,0,0,0,0,0,0
AEBP1,141,253,7,1,66,184
MIR4649,0,0,0,0,0,0
POLD2,147,131,81,20,391,104
MYL7,0,0,0,0,1,12
GCK,1,0,1,0,0,0
YKT6,141,76,54,24,360,128
CAMK2B,1,0,8,0,1,1
NUDCD3,99,22,28,9,194,82
NPC1L1,1,0,0,0,0,0
DDX56,126,54,64,9,291,104
TMED4,245,103,125,34,934,253
OGDH,114,41,18,13,259,63
ZMIZ2,42,28,7,5,91,47
PPIA,3611,1946,1405,429,12674,3742
H2AZ2,380,394,185,52,1023,386
PURB,80,47,23,11,174,70
MIR4657,0,0,0,0,0,0
MYO1G,0,0,0,0,0,0
SNHG15,111,43,71,21,423,197
SNORA9,0,0,0,0,0,0
CCM2,242,100,73,22,387,179
NACAD,15,7,2,0,3,12
TBRG4,101,58,49,17,201,65
SNORA5A,0,0,0,0,0,0
SNORA5C,0,0,0,0,0,0
SNORA5B,0,0,0,0,0,0
RAMP3,0,0,0,0,0,0
ADCY1,0,1,0,0,6,1
SEPTIN7P2,42,15,16,4,66,20
LOC730234,0,0,0,0,0,0
IGFBP1,1,0,1,0,0,3
IGFBP3,1485,860,59,653,8816,769
LOC730338,0,0,0,0,0,0
TNS3,471,93,28,41,939,229
SNORD151,0,0,0,0,0,0
LINC01447,0,0,0,0,0,0
C7orf65,0,0,0,0,0,1
LINC00525,0,1,0,0,0,3
PKD1L1,2,0,0,0,0,1
C7orf69,80,1,1,2,30,3
HUS1,69,23,21,9,162,37
SUN3,65,4,7,5,10,3
C7orf57,0,0,0,0,0,0
UPP1,508,164,381,97,1047,583
ABCA13,0,0,0,0,0,1
CDC14C,0,0,0,0,0,0
VWC2,1,0,0,0,0,0
ZPBP,0,0,0,0,0,0
SPATA48,0,0,0,0,0,0
IKZF1,0,0,0,0,1,0
FIGNL1,19,3,7,2,22,11
DDC,0,0,0,0,0,0
DDC-AS1,0,0,0,0,0,0
GRB10,50,16,29,6,183,30
COBL,0,0,1,0,0,1
LOC107986794,0,0,0,0,0,0
POM121L12,0,0,0,0,0,0
LINC01446,0,0,0,0,0,0
LINC01445,0,0,0,0,0,0
VSTM2A,0,0,1,0,0,0
VSTM2A-OT1,0,0,0,0,0,0
SEC61G,1850,719,444,188,6476,2898
LOC100996654,0,0,0,0,0,0
EGFR,48,45,7,9,128,71
EGFR-AS1,0,0,0,0,0,0
ELDR,0,0,0,0,0,0
LANCL2,37,8,8,4,87,30
VOPP1,177,108,77,23,407,221
FKBP9P1,0,0,1,0,0,0
SEPTIN14,0,0,0,0,0,0
ZNF713,7,1,2,1,4,0
MRPS17,254,126,125,22,487,207
NIPSNAP2,164,84,56,15,233,100
PSPH,318,52,93,18,168,157
CCT6A,698,336,426,62,1146,461
SNORA22B,0,0,0,0,0,0
SNORA15,0,0,0,0,0,0
SUMF2,204,123,56,20,958,219
PHKG1,16,8,3,1,207,66
CHCHD2,1523,1331,1160,281,6929,2751
NUPR2,0,0,0,0,0,0
LOC650226,0,0,0,0,0,0
LOC100240728,0,0,0,0,0,0
DKFZp434L192,0,0,0,0,0,0
LOC101928401,0,0,0,0,0,0
LOC401357,0,0,0,0,0,0
LOC100130849,0,0,0,0,0,0
MIR4283-1,0,0,0,0,0,0
MIR4283-2,0,0,0,0,0,0
ZNF479,0,0,0,0,0,0
GUSBP10,0,0,0,0,0,0
LOC105375297,0,0,0,0,0,0
LOC100653233,0,0,0,0,0,0
MIR3147,0,0,0,0,0,0
ZNF716,0,0,0,0,0,0
ZNF733P,0,0,0,0,0,0
LOC102724738,0,0,0,0,1,0
LOC100287704,0,0,0,0,0,0
LOC100287834,0,0,0,0,0,0
ZNF722P,0,0,0,0,0,0
LINC01005,0,0,0,0,0,0
ZNF727,0,0,0,0,0,0
ZNF735,0,0,0,0,0,0
ZNF679,0,0,0,0,0,0
ZNF736,5,5,1,1,8,16
YWHAEP1,0,0,0,0,0,0
ZNF680,12,0,1,0,9,8
LOC100128885,0,0,0,0,0,0
LOC641746,0,0,0,0,0,0
ZNF107,9,5,1,0,10,1
MIR6839,0,0,0,0,0,0
ZNF138,26,11,14,1,69,34
ZNF273,2,0,2,0,3,2
ERV3-1-ZNF117,0,0,0,0,1,0
ZNF117,0,0,0,0,1,0
ERV3-1,33,17,38,6,79,35
CCT6P3,10,6,12,1,29,11
SNORA22C,0,0,0,0,0,0
SNORA15B-1,0,0,0,0,0,0
SNORA15B-2,0,0,0,0,0,0
INTS4P1,0,0,0,0,1,0
ZNF92,9,6,4,1,41,7
LOC101929322,0,0,0,0,6,0
LOC441242,9,4,5,0,7,4
INTS4P2,0,0,0,0,0,0
CCT6P1,4,2,1,1,7,3
SNORA22,0,0,0,0,0,0
VKORC1L1,164,69,33,13,403,93
GUSB,54,39,11,7,76,34
ASL,61,51,14,10,157,95
CRCP,95,49,56,10,157,52
TPST1,130,80,43,24,1005,211
LINC00174,1,3,0,0,11,5
GS1-124K5.4,40,19,10,2,78,45
GS1-124K5.11,45,19,17,6,102,53
KCTD7,23,16,6,1,36,18
LOC100996437,0,1,0,0,20,0
RABGEF1,112,42,26,10,295,68
GTF2IRD1P1,0,0,0,0,0,0
GTF2IP23,1,0,1,0,0,1
LINC02604,3,2,1,0,16,6
TMEM248,285,141,79,35,796,266
SBDS,1339,267,297,124,1777,560
TYW1,54,16,21,2,68,26
MIR4650-1,0,0,0,0,0,0
MIR4650-2,0,0,0,0,0,0
PMS2P4,11,8,1,1,23,6
STAG3L4,31,23,6,4,194,26
LINC01372,0,0,0,1,2,1
LOC102723427,0,0,0,0,0,0
CT66,0,0,0,0,0,0
AUTS2,6,23,7,2,67,18
GALNT17,0,1,0,0,1,0
MIR3914-1,0,0,0,0,0,0
MIR3914-2,0,0,0,0,0,0
CALN1,0,0,0,0,0,0
TYW1B,6,3,2,1,9,7
SBDSP1,586,81,162,34,1098,219
SPDYE7P,0,0,0,0,0,0
POM121,75,28,33,6,189,73
NSUN5P2,27,17,16,4,83,43
TRIM73,0,0,0,0,0,0
TRIM74,0,0,0,0,0,0
LOC541473,0,0,0,0,0,0
LOC100101148,0,0,0,0,0,0
STAG3L3,2,0,0,0,2,4
PMS2P7,7,0,2,2,20,0
SPDYE8P,1,0,0,0,31,1
SPDYE13P,0,0,0,0,0,0
SPDYE14P,0,0,0,0,0,0
SPDYE15P,0,0,0,0,0,0
SPDYE11,0,0,0,0,0,0
SPDYE17,0,0,0,0,0,0
SPDYE10P,0,0,0,0,1,0
GTF2IP4,0,0,0,0,0,0
GTF2IP1,0,1,0,0,1,0
NCF1B,0,0,0,0,0,0
NSUN5,65,20,34,8,169,37
TRIM50,0,0,0,0,0,0
FKBP6,0,0,1,0,0,0
FZD9,6,2,0,1,12,8
BAZ1B,227,102,116,16,346,116
BCL7B,203,75,108,25,321,105
TBL2,105,48,39,9,220,69
MLXIPL,0,0,0,0,0,0
VPS37D,15,7,19,3,23,14
DNAJC30,128,59,52,17,320,109
BUD23,252,107,183,45,1071,225
STX1A,16,17,18,4,31,44
MIR4284,0,0,0,0,0,0
ABHD11-AS1,1,1,3,0,2,0
ABHD11,31,32,16,6,32,39
CLDN3,0,0,1,0,0,0
CLDN4,0,0,0,0,2,0
METTL27,4,9,0,0,7,2
TMEM270,2,0,0,0,0,0
ELN,7229,0,0,67,0,17
LIMK1,57,28,12,8,281,138
EIF4H,453,261,151,34,926,346
MIR590,0,0,0,0,0,0
LAT2,0,0,2,0,6,3
RFC2,31,22,16,4,48,33
CLIP2,25,14,12,5,50,44
GTF2IRD1,42,12,13,1,71,36
MIR10525,0,0,0,0,0,0
GTF2I,102,21,22,5,75,28
LOC101926943,0,0,0,0,141,0
NCF1,0,0,0,0,0,0
GTF2IRD2,13,7,1,0,30,8
STAG3L2,12,1,3,0,15,4
PMS2P5,15,2,3,1,45,14
CASTOR2,9,14,6,2,164,29
RCC1L,119,57,44,11,306,122
GTF2IRD2B,15,3,2,0,20,9
NCF1C,1,0,0,0,1,0
PMS2P2,13,7,2,1,70,13
STAG3L1,0,0,0,0,0,0
NSUN5P1,14,21,9,0,74,36
POM121C,72,24,31,8,241,80
SPDYE5,0,0,0,0,0,0
PMS2P3,8,1,12,2,15,4
HIP1,103,65,11,10,47,27
CCL26,3,1,0,6,118,4
CCL24,0,0,0,0,0,0
RHBDD2,72,21,65,16,320,111
POR,56,34,44,12,224,78
MIR4651,0,0,0,0,0,0
SNORA14A,0,0,0,0,0,0
TMEM120A,33,23,16,8,231,47
STYXL1,41,26,24,9,115,42
MDH2,615,323,290,55,1829,593
GTF2IP7,0,0,0,0,0,0
SRRM3,9,1,0,0,180,11
HSPB1,2294,702,559,320,9554,1954
YWHAG,322,139,179,38,1093,602
SSC4D,6,5,2,0,10,15
ZP3,22,1,1,1,14,0
DTX2,27,10,8,1,48,20
FDPSP2,6,2,1,0,0,5
UPK3B,0,2,1,0,5,6
SPDYE16,0,0,0,0,0,0
LOC100133091,7,6,2,0,21,8
POMZP3,26,11,9,2,60,5
DTX2P1-UPK3BP1-PMS2P11,0,0,1,0,1,0
PMS2P9,1,0,0,1,0,1
SPDYE18,0,0,0,0,0,0
FAM185BP,2,0,2,0,5,1
CCDC146,5,1,0,0,3,4
FGL2,2,0,1,0,3,0
GSAP,9,0,0,1,23,3
LOC101927243,0,0,0,0,0,0
PTPN12,151,74,53,20,334,156
APTR,54,22,32,4,143,37
RSBN1L,85,36,34,7,181,82
TMEM60,101,60,73,16,268,191
PHTF2,294,37,88,18,202,125
MAGI2,22,5,4,1,31,12
RPL13AP17,0,0,0,0,0,0
MAGI2-AS2,0,0,0,0,0,0
MAGI2-AS3,215,103,94,19,699,209
GNAI1,82,65,47,9,803,116
LOC101927269,0,0,0,0,0,0
GNAT3,0,0,0,0,4,0
CD36,0,0,9,0,9,2
SEMA3C,90,122,15,40,1008,1335
LOC105369146,0,0,0,0,0,0
LOC100128317,0,0,0,0,0,0
HGF,0,0,0,0,35,1
CACNA2D1,68,18,12,6,563,32
CACNA2D1-AS1,0,0,0,0,0,0
PCLO,19,2,12,2,6,16
SEMA3E,68,9,1,8,13,7
SEMA3A,7,13,11,2,9,37
LOC101927378,0,0,0,0,0,0
SEMA3D,36,4,12,0,0,2
LINC00972,0,0,0,0,0,0
GRM3,1,1,0,0,0,1
KIAA1324L,15,18,1,1,4,20
LOC101927420,4,4,7,1,13,9
DMTF1,81,37,13,4,164,51
TMEM243,136,120,74,12,431,156
TP53TG1,153,30,20,9,307,148
CROT,73,5,12,4,100,54
ABCB4,1,0,1,1,0,1
ABCB1,34,3,3,5,0,1
RUNDC3B,5,0,5,0,0,5
SLC25A40,11,4,3,0,19,8
DBF4,21,18,13,4,42,21
ADAM22,2,1,1,0,2,2
SRI,584,414,257,67,984,636
LOC102723885,0,0,0,0,0,0
STEAP4,0,0,0,0,1,0
ZNF804B,0,0,0,0,0,0
TEX47,0,0,0,0,0,0
STEAP2-AS1,0,0,0,0,0,0
DPY19L2P4,0,0,0,0,0,1
STEAP1,13,102,2,3,8,39
STEAP2,1,23,1,0,1,7
CFAP69,1,2,1,0,2,2
LOC101927446,0,0,0,0,0,0
GTPBP10,41,26,16,4,103,38
LOC101409256,0,0,0,0,1,0
CLDN12,38,19,14,7,88,63
LOC102723899,0,0,0,0,7,1
CDK14,29,20,10,2,175,44
FZD1,13,25,3,1,141,46
MTERF1,23,14,13,0,69,16
AKAP9,440,121,88,29,698,177
CYP51A1,233,48,110,16,481,127
CYP51A1-AS1,0,0,0,0,0,0
LRRD1,1,0,0,0,1,0
KRIT1,118,35,30,5,190,93
MIR1285-1,0,0,0,0,0,0
ANKIB1,138,51,36,13,292,128
TMBIM7P,0,0,0,0,0,0
GATAD1,172,88,83,23,362,188
ERVW-1,1,0,0,0,1,0
PEX1,35,23,11,4,79,27
RBM48,39,13,20,4,75,11
FAM133B,98,34,36,11,126,70
CDK6,970,228,222,75,529,476
CDK6-AS1,26,11,2,6,16,13
SAMD9,26,29,10,9,32,47
SAMD9L,46,14,2,1,8,23
HEPACAM2,0,0,0,0,0,0
VPS50,71,19,15,7,95,25
CALCR,13,0,0,0,0,0
MIR653,0,0,0,0,0,0
MIR489,0,0,0,0,0,0
MIR4652,0,0,0,0,0,0
TFPI2,181,11,21,3,3182,815
LOC105375401,0,0,0,0,0,0
GNGT1,0,0,0,0,0,0
GNG11,348,95,18,12,1016,232
BET1,171,84,43,16,730,228
COL1A2-AS1,0,0,0,0,2,1
COL1A2,10393,6582,146,792,28571,7452
CASD1,28,11,3,1,55,55
SGCE,99,68,19,4,70,92
PEG10,24,321,15,0,41,17
PPP1R9A,5,0,15,0,1,10
PON1,0,0,0,0,0,0
PON3,0,0,0,0,0,0
PON2,541,99,131,34,1061,218
ASB4,0,0,0,0,0,0
PDK4,0,0,0,0,2,0
DYNC1I1,15,2,2,1,25,6
SLC25A13,77,22,16,3,151,54
MIR591,0,0,0,0,0,0
SEM1,926,400,285,86,1889,1005
DLX6-AS1,0,0,1,0,0,0
DLX6,0,0,0,0,0,1
DLX5,0,1,1,4,4,19
SDHAF3,71,53,27,12,273,85
TAC1,10,5,5,0,0,9
ASNS,4,3,4,0,4,6
CZ1P-ASNS,0,0,1,0,0,0
MIR5692A1,0,0,0,0,0,0
MIR5692A2,0,0,0,0,0,0
MIR5692C2,0,0,0,0,0,0
CCZ1P-OR7E38P,19,10,8,9,98,31
OCM2,0,0,0,0,0,0
LMTK2,33,12,6,2,42,14
BHLHA15,0,0,0,0,0,0
TECPR1,57,18,10,10,105,37
BRI3,3621,1483,1597,532,7900,2914
BAIAP2L1,39,8,9,6,365,33
NPTX2,0,0,2,0,64,2
TMEM130,20,1,1,1,0,5
TRRAP,49,32,13,2,118,36
MIR3609,0,0,0,0,0,0
SCARNA28,0,0,0,0,0,0
LOC101927550,3,1,0,0,5,1
SMURF1,49,14,8,5,106,42
KPNA7,0,0,0,0,0,0
MYH16,0,0,0,0,0,0
ARPC1A,529,436,217,58,2203,685
ARPC1B,1294,679,603,147,3901,1220
PDAP1,528,311,187,38,983,485
BUD31,718,287,303,71,1516,622
MIR12119,0,0,0,0,0,0
ATP5MF-PTCD1,0,0,0,0,0,0
PTCD1,0,0,0,0,0,0
CPSF4,95,37,15,7,225,111
ATP5MF,1320,434,300,90,2402,1012
ZNF789,8,5,3,0,37,1
ZNF394,53,25,44,7,94,22
ZKSCAN5,37,11,7,6,73,26
FAM200A,20,8,14,3,53,17
ZNF655,98,50,32,17,202,92
TMEM225B,7,10,4,1,12,5
ZSCAN25,15,4,8,1,40,17
CYP3A5,0,1,0,0,1,0
CYP3A7-CYP3A51P,0,0,0,0,0,0
CYP3A7,0,0,0,0,2,0
CYP3A4,0,0,0,0,1,0
CYP3A43,0,0,0,0,0,0
OR2AE1,0,0,0,0,0,0
TRIM4,56,8,4,2,131,63
GJC3,1,0,0,0,0,0
AZGP1,0,0,0,0,0,0
AZGP1P1,0,0,0,0,0,0
LOC105375423,0,0,0,0,0,0
ZKSCAN1,196,97,65,25,328,133
ZSCAN21,41,15,12,6,39,18
ZNF3,39,16,10,2,59,19
COPS6,443,264,162,48,946,358
MCM7,26,38,19,3,104,36
MIR25,0,0,0,0,0,0
MIR93,0,0,0,0,0,0
MIR106B,0,0,0,0,0,0
AP4M1,43,30,24,6,100,43
TAF6,149,55,48,10,237,90
CNPY4,109,66,10,12,241,130
MBLAC1,20,6,11,2,37,14
LAMTOR4,779,375,278,67,1631,940
MAP11,21,4,13,0,71,33
MIR4658,0,0,0,0,0,0
GAL3ST4,11,3,4,0,6,5
GPC2,5,2,7,2,9,4
STAG3,0,1,0,0,1,0
CASTOR3,11,7,7,3,39,19
PVRIG,0,0,0,0,0,0
SPDYE3,1,0,0,0,0,0
PMS2P1,39,20,14,3,117,30
STAG3L5P-PVRIG2P-PILRB,3,0,1,0,3,1
STAG3L5P,1,0,2,0,3,0
PVRIG2P,0,0,0,0,0,0
MIR6840,0,0,0,0,0,0
PILRB,0,0,0,0,0,0
PILRA,0,0,1,0,4,2
ZCWPW1,26,8,13,3,30,14
MEPCE,68,31,24,7,136,51
PPP1R35,169,60,75,11,332,135
C7orf61,1,2,2,0,2,3
TSC22D4,91,66,30,13,202,124
NYAP1,1,2,0,0,0,3
AGFG2,3,5,2,1,14,10
SAP25,4,0,1,0,4,10
LRCH4,3,0,1,0,1,0
ZASP,0,0,0,0,0,0
FBXO24,1,0,0,0,2,1
PCOLCE-AS1,0,0,0,0,0,1
PCOLCE,137,533,2,8,104,777
MOSPD3,81,34,22,4,134,83
TFR2,0,0,0,1,0,1
ACTL6B,0,0,0,0,0,0
LOC105375429,0,0,0,0,0,0
GNB2,453,255,132,56,705,425
GIGYF1,31,20,20,3,276,92
POP7,260,128,114,32,687,251
EPO,0,0,0,0,1,0
ZAN,0,0,0,0,0,0
EPHB4,44,27,15,8,134,50
SLC12A9,48,25,10,4,101,25
SLC12A9-AS1,0,0,0,0,1,0
TRIP6,534,195,116,26,500,224
MIR6875,0,0,0,0,0,0
SRRT,105,20,17,6,158,58
UFSP1,12,5,5,6,61,21
ACHE,4,1,1,2,4,4
MUC3A,0,0,0,0,2,0
MUC12,1,0,0,0,29,9
MUC12-AS1,2,1,1,1,20,11
MUC17,0,0,0,0,0,0
TRIM56,246,104,49,12,335,144
SERPINE1,2877,1314,1515,524,7705,4529
AP1S1,660,327,375,84,1849,667
MIR4653,0,0,0,0,0,0
VGF,3,1,34,3,6,1
NAT16,0,0,1,0,0,0
MOGAT3,0,0,0,0,0,0
PLOD3,197,75,59,27,695,179
ZNHIT1,811,308,278,98,2070,906
CLDN15,11,6,8,0,31,22
FIS1,834,504,285,72,1478,693
LNCPRESS1,0,0,0,0,0,0
EMSLR,0,1,2,1,7,0
IFT22,107,92,50,19,302,139
COL26A1,32,0,4,0,2,1
LINC01007,0,0,0,0,0,0
MYL10,0,0,0,1,11,18
CUX1,287,53,88,20,1000,150
SH2B2,9,3,4,1,25,8
MIR4285,0,0,0,0,0,0
SPDYE6,0,0,0,0,0,0
LOC100630923,4,2,2,0,7,1
LOC100289561,3,1,1,0,5,6
PRKRIP1,7,0,6,1,14,5
MIR548O,0,0,0,0,0,0
ORAI2,122,89,46,13,296,118
ALKBH4,85,17,31,5,128,53
LRWD1,92,27,19,3,170,45
MIR5090,0,0,0,0,0,0
MIR4467,0,0,0,0,0,0
POLR2J,519,257,245,57,1285,724
RASA4B,3,0,3,1,5,0
POLR2J3,2,0,0,0,0,1
UPK3BL2,1,0,0,0,3,0
SPDYE2,0,0,0,0,0,0
SPDYE2B,0,0,0,0,0,0
RASA4,2,0,2,0,0,1
POLR2J2,1,0,0,0,0,0
UPK3BL1,0,0,0,0,0,0
RASA4DP,1,0,0,0,1,0
FAM185A,21,5,10,4,36,8
FBXL13,1,1,0,0,11,3
LRRC17,65,22,0,0,3,217
NFE4,1,0,0,0,1,1
ARMC10,154,81,68,18,445,179
NAPEPLD,26,10,4,1,62,20
RPL19P12,4,2,1,0,8,1
DPY19L2P2,0,1,1,0,0,0
PMPCB,143,66,49,13,323,89
DNAJC2,152,91,104,22,374,112
PSMC2,378,133,123,34,646,256
SLC26A5,0,0,0,0,0,0
LOC101927870,0,0,0,0,0,0
RELN,2,0,0,0,1,0
ORC5,27,13,7,4,78,38
LHFPL3,0,0,0,0,0,0
LHFPL3-AS1,0,0,0,0,0,0
LHFPL3-AS2,0,0,1,0,0,1
LINC01004,22,27,10,3,67,41
KMT2E-AS1,32,13,13,1,50,23
KMT2E,379,129,92,21,411,132
SRPK2,272,97,107,35,387,189
PUS7,30,12,11,6,56,16
RINT1,53,26,21,5,156,31
EFCAB10,1,0,0,0,5,1
ATXN7L1,12,4,5,1,20,4
CDHR3,0,0,0,0,0,0
SYPL1,281,196,138,43,862,425
NAMPT,55,76,55,12,445,79
CCDC71L,225,99,46,8,550,226
PIK3CG,0,0,0,0,0,0
PRKAR2B,3,4,3,3,29,11
HBP1,149,77,84,11,317,163
COG5,43,15,9,3,130,53
GPR22,0,0,0,0,0,0
DUS4L,12,5,5,1,22,6
DUS4L-BCAP29,2,1,1,0,6,0
BCAP29,14,5,4,1,32,6
SLC26A4-AS1,0,0,0,0,0,0
SLC26A4,2,1,0,0,1,1
LOC101927974,13,9,17,3,44,17
CBLL1,44,24,18,4,120,47
SLC26A3,0,0,0,0,0,0
DLD,191,89,55,18,403,130
LAMB1,554,202,77,39,896,279
LAMB4,1,1,0,0,2,3
NRCAM,13,8,4,0,0,16
PNPLA8,141,52,72,14,308,114
THAP5,145,36,51,13,228,91
DNAJB9,211,43,86,11,367,206
C7orf66,0,0,0,0,0,0
EIF3IP1,0,0,0,0,0,0
IMMP2L,29,26,13,4,47,39
LRRN3,10,0,0,1,0,0
DOCK4,11,15,4,1,7,8
DOCK4-AS1,0,0,0,0,0,0
ZNF277,55,49,30,7,97,38
IFRD1,365,75,210,25,822,255
LSMEM1,3,2,6,0,9,6
LOC100996249,0,0,0,0,0,0
LOC101928012,0,0,0,0,0,0
TMEM168,27,15,5,4,79,35
BMT2,25,16,8,1,97,40
HRAT17,5,3,1,4,1,5
GPR85,0,0,0,0,0,2
SMIM30,155,93,23,15,253,137
PPP1R3A,74,0,0,0,0,0
FOXP2,25,8,2,0,5,6
MIR3666,0,0,0,0,0,0
MDFIC,56,44,10,7,541,87
LINC01393,2,1,0,0,2,0
LINC01392,0,0,0,0,0,0
SNORA25B,0,0,0,0,0,0
TFEC,0,0,1,0,0,0
TES,330,102,70,16,191,201
LOC102724434,1,6,0,0,0,5
CAV2,664,294,133,84,1034,617
CAV1,1041,1729,107,208,2273,2360
LINC01510,0,1,0,0,0,0
MET,53,89,23,10,17,70
CAPZA2,498,215,223,63,1327,585
ST7-AS1,11,19,2,0,42,9
ST7,101,25,21,5,146,24
ST7-OT4,2,1,0,0,3,0
MIR6132,0,0,0,0,0,0
ST7-AS2,0,0,0,0,0,0
ST7-OT3,0,0,0,0,0,0
WNT2,1,3,0,0,658,5
ASZ1,0,0,0,0,9,0
CFTR,0,0,0,0,4,0
CFTR-AS1,0,0,0,0,0,0
CTTNBP2,9,0,0,2,23,50
LSM8,259,169,77,21,744,383
ANKRD7,0,0,0,0,0,1
LINC02476,0,0,0,0,0,0
KCND2,1,0,0,0,56,0
TSPAN12,10,1,7,2,13,9
ING3,51,28,20,2,46,51
CPED1,15,13,2,4,1,22
WNT16,0,0,0,0,0,3
FAM3C,317,139,188,51,751,309
PTPRZ1,46,0,33,0,1,0
AASS,42,15,3,4,76,27
FEZF1,0,0,0,0,0,0
FEZF1-AS1,4,0,0,0,0,0
CADPS2,4,3,2,0,19,20
RNF133,0,0,0,0,1,0
RNF148,0,0,0,0,0,0
TAS2R16,0,0,0,0,0,0
SLC13A1,0,0,0,0,0,0
